video_id,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct
habC39Drt_Q,14,0.039285714285714264,0.35714285714285715,0.21428571428571427,0.42857142857142855
iHM-_WZWb_w,13,0.35,0.5384615384615384,0.46153846153846156,0
iN9qNGIKcLA,26,1.2615384615384615,0.6923076923076923,0.23076923076923078,0.07692307692307693
iYrbUMZl2r8,34,0.2647058823529412,0.38235294117647056,0.38235294117647056,0.23529411764705882
izEEuo8wHQQ,50,0.312,0.5,0.32,0.18
jhGteQYWfY4,38,0.44473684210526315,0.47368421052631576,0.3157894736842105,0.21052631578947367
jhcCk-EtAeQ,22,0.5045454545454545,0.5909090909090909,0.36363636363636365,0.045454545454545456
jpVaQbN7Tso,14,-0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855
jw9aY-tR-Lc,31,0.17258064516129032,0.3548387096774194,0.45161290322580644,0.1935483870967742
k9fuxSRcEho,49,0.7673469387755102,0.5918367346938775,0.2857142857142857,0.12244897959183673
lfoK5vSO8rc,50,0.53,0.4,0.54,0.06
nhduWX5ICYQ,38,0.5157894736842106,0.5,0.3157894736842105,0.18421052631578946
nrY9QsI1h4M,5,0.39,0.4,0.6,0
o3AH3OprnBU,18,0.37222222222222223,0.6666666666666666,0.2777777777777778,0.05555555555555555
oM9oDWVCF7A,3,0.5,0.3333333333333333,0.6666666666666666,0
oN9WqbdC_PI,20,0.1825,0.45,0.35,0.2
p19p99mO0to,9,0.25555555555555554,0.4444444444444444,0.4444444444444444,0.1111111111111111
pSTNuSap_l8,20,0.225,0.35,0.4,0.25
raoA-VLPi8o,20,0.185,0.35,0.5,0.15
sTAgwA3YILk,42,0.35714285714285715,0.47619047619047616,0.2619047619047619,0.2619047619047619
tNSqPh2fd6o,39,0.27179487179487183,0.46153846153846156,0.4358974358974359,0.10256410256410256
tjV5glj7PbQ,15,0.07666666666666667,0.3333333333333333,0.4666666666666667,0.2
uh-MW8UydIg,11,0.14545454545454545,0.36363636363636365,0.45454545454545453,0.18181818181818182
vD0EHRSfH2I,14,-0.18571428571428572,0.2857142857142857,0.35714285714285715,0.35714285714285715
voQCd53zWtE,12,0.20833333333333334,0.3333333333333333,0.5,0.16666666666666666
w-lR7LsE07c,26,0.5288461538461539,0.5,0.46153846153846156,0.038461538461538464
w6isG_ex59M,11,0.09545454545454546,0.2727272727272727,0.45454545454545453,0.2727272727272727
wBY5a-aclEw,28,0.5750000000000001,0.5357142857142857,0.32142857142857145,0.14285714285714285
x5kjIwZ3-Kw,50,0.127,0.36,0.32,0.32
xWkbIrVYaz8,46,0.175,0.2826086956521739,0.6086956521739131,0.10869565217391304
xy34GlvW8qM,50,1.263,0.76,0.16,0.08
yi1I8LsDgQo,18,0.14444444444444443,0.3333333333333333,0.5,0.16666666666666666
