video_id,team,team_abbreviation,conference,channel_name,channel_id,channel_title,video_title,video_description,published_at,published_date,published_hour,published_month,duration,content_type,message_theme,view_count,like_count,comment_count,like_count_clean,comment_count_clean,engagement_count,engagement_rate,likes_per_1k_views,comments_per_1k_views,views_per_day,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct,sentiment_bucket,monitoring_priority
25o2VTMo-48,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,LUKA DONČIĆ: ALL-NBA FIRST TEAM #Lakers,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-24T23:55:23Z,2026-05-24,23,2026-05-01,PT21S,Shorts,Star Player,15036,624,30,624,30,654,0.04349561053471668,41.50039904229848,1.9952114924181963,1156.6153846153845,28,0.49107142857142855,0.5357142857142857,0.3928571428571429,0.07142857142857142,Positive,Standard
x5kjIwZ3-Kw,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Luka Dončić's BEST Plays from the 2025-2026 Season,"Luka Dončić has been announced 'First Team All-NBA'. Deep threes, insane shots, and elite-level passing -- Luka was ...",2026-05-24T23:24:17Z,2026-05-24,23,2026-05-01,PT11M35S,Highlights/Recap,Star Player,68033,1661,111,1661,111,1772,0.02604618346978672,24.414622315640937,1.6315611541457822,5233.307692307692,50,0.127,0.36,0.32,0.32,Neutral,Standard
CL9f8bd6ilQ,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Lakers Press Conference: Rob Pelinka & JJ Redick,Rob Pelinka and JJ Redick speak to media following the conclusion of the Lakers' 2025-26 season. Subscribe for the latest ...,2026-05-12T19:37:45Z,2026-05-12,19,2026-05-01,PT36M37S,Interview/Press,General Team Content,28189,568,142,568,142,710,0.02518712973145553,20.149703785164423,5.037425946291106,1127.56,50,0.559,0.58,0.22,0.2,Positive,Standard
VwJm53flhBo,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Lakers Press Conference: Rob Pelinka & JJ Redick,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw Follow us on ...,2026-05-12T18:26:23Z,2026-05-12,18,2026-05-01,PT36M39S,Interview/Press,General Team Content,32955,712,123,712,123,835,0.025337581550599304,21.605219238355335,3.732362312243969,1318.2,50,0.715,0.6,0.24,0.16,Positive,Standard
ARJ6yxqB43Q,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Jaxson Hayes brings the ENERGY #NBAPlayoffs #Lakers,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-12T04:50:23Z,2026-05-12,4,2026-05-01,PT10S,Shorts,Playoff Stakes,36292,802,56,802,56,858,0.02364157390058415,22.098534112201037,1.5430397883831148,1451.68,26,0.1826923076923077,0.3076923076923077,0.38461538461538464,0.3076923076923077,Positive,Standard
3P4xksVcNBQ,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Inside Access: Lakers Playoffs Practice,"Go inside the gym with LeBron, Austin, and the Los Angeles Lakers as they prepare for the Oklahoma City Thunder. Subscribe for ...",2026-05-11T17:19:17Z,2026-05-11,17,2026-05-01,PT2M39S,Behind the Scenes,Playoff Stakes,13272,395,77,395,77,472,0.03556359252561784,29.76190476190476,5.801687763713081,510.46153846153845,45,0.32222222222222224,0.4222222222222222,0.4222222222222222,0.15555555555555556,Positive,Standard
KcqTZbSFZH4,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Austin with the SLAM #lakers #NBAPlayoffs,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-10T01:36:34Z,2026-05-10,1,2026-05-01,PT9S,Shorts,Playoff Stakes,31917,792,49,792,49,841,0.026349594260112165,24.81436225209136,1.535232008020804,1182.111111111111,30,-0.26,0.2,0.36666666666666664,0.43333333333333335,Negative,High Negative Sentiment
raoA-VLPi8o,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Reps from deep 🎯 #lakers #NBAplayoffs,NA,2026-05-10T00:22:19Z,2026-05-10,0,2026-05-01,PT29S,Shorts,Playoff Stakes,23921,618,28,618,28,646,0.027005559968228753,25.835040341122863,1.1705196271058902,885.9629629629629,20,0.185,0.35,0.5,0.15,Positive,Standard
IxiUCvrhREk,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,10000 IQ play from Austin and LeBron #lakers #NBAPlayoffs,NA,2026-05-08T03:06:13Z,2026-05-08,3,2026-05-01,PT12S,Shorts,Playoff Stakes,50528,959,43,959,43,1002,0.019830588980367322,18.97957568081064,0.8510132995566814,1742.344827586207,25,0.02200000000000003,0.32,0.44,0.24,Neutral,Standard
tjV5glj7PbQ,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Rui’s making it rain👌 #lakers,NA,2026-05-08T03:03:10Z,2026-05-08,3,2026-05-01,PT13S,Shorts,General Team Content,25451,723,19,723,19,742,0.02915406074417508,28.407528191426664,0.7465325527484185,877.6206896551724,15,0.07666666666666667,0.3333333333333333,0.4666666666666667,0.2,Neutral,Standard
