video_id,comment_id,comment_text,comment_like_count,comment_published_at,team,team_abbreviation,conference,channel_title,video_title,published_at
jpVaQbN7Tso,UgyFsxWRfUyg6YT9Ogd4AaABAg,🍀🍀🍀💚😎,0,2026-05-28T17:42:15Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugz_Vk_L3-TR1qwhWcR4AaABAg,this team makes me sad every year except for 2024,4,2026-05-28T14:23:18Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,UgxeAR68AYWAoFF82Tt4AaABAg,W,0,2026-05-28T14:08:38Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugy_ZGJ46I-91eEtjBh4AaABAg,Imagine getting eliminated in the FIRST round by the 76ers,1,2026-05-31T19:24:17Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,UgxMDH_TAM2lcdmTqsB4AaABAg,Day one of asking the celtics to reply to my coment im a die hard fan,0,2026-06-01T21:04:18Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugxocr6DBTBCmXOu_RV4AaABAg,It's so sad been a fan forever and at the age of 40 something to come to find out and feel more like the NBA is all script just like every other sport I always thought news and shows but not sports but I was wrong and devastated 😔 everything that is televised it is scripted I've always said it and it's been proven,1,2026-05-30T01:46:43Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugyj1vc4PUOW0MLI-Lp4AaABAg,Can I have a jersey,1,2026-05-28T21:31:05Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,UgyUr9h1Voj2mQG01id4AaABAg,wtf am i looking at,0,2026-05-30T15:50:02Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugyciq-JoGH53zYJjxN4AaABAg,Yeah whatever the NBA has scripted,0,2026-05-30T01:44:42Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,Ugw3usZscgefICjL2qZ4AaABAg,"""every game tells a story"" last story yall told was trash",0,2026-05-28T18:16:12Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
